participant_id	age	sex	hand	weight	height	group	species	bci_experience
sub-1	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-10	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-11	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-12	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-13	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-14	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-15	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-16	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-17	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-18	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-19	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-2	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-20	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-3	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-4	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-5	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-6	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-7	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-8	27.5	n/a	R	n/a	n/a	healthy	human	not specified
sub-9	27.5	n/a	R	n/a	n/a	healthy	human	not specified
